Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,11,8,36,4.26,0.000%,99.90010,1843.18,33.17,18893.0
TOTAL,100,11,8,36,4.26,0.000%,99.90010,1843.18,33.17,18893.0
