Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1000,4716,102,8931,2495.79,0.000%,100.66438,1857.28,33.42,18893.0
TOTAL,1000,4716,102,8931,2495.79,0.000%,100.66438,1857.28,33.42,18893.0
