Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1,90,90,90,0.00,0.000%,11.11111,205.00,3.69,18893.0
TOTAL,1,90,90,90,0.00,0.000%,11.11111,205.00,3.69,18893.0
