Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,10,58,42,119,21.06,0.000%,10.37344,140.65,3.46,13884.0
TOTAL,10,58,42,119,21.06,0.000%,10.37344,140.65,3.46,13884.0
