Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,10,32,20,42,6.28,0.000%,10.81081,199.46,3.59,18893.0
TOTAL,10,32,20,42,6.28,0.000%,10.81081,199.46,3.59,18893.0
