Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1,112,112,112,0.00,0.000%,8.92857,121.06,2.98,13884.0
TOTAL,1,112,112,112,0.00,0.000%,8.92857,121.06,2.98,13884.0
