Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,211,69,342,62.74,0.000%,80.90615,1492.73,26.86,18893.0
TOTAL,100,211,69,342,62.74,0.000%,80.90615,1492.73,26.86,18893.0
