Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,2000,402,6,669,164.48,0.000%,1038.42160,13193.73,328.56,13010.5
TOTAL,2000,402,6,669,164.48,0.000%,1038.42160,13193.73,328.56,13010.5
