Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,200,6,4,22,2.15,0.000%,199.40179,2533.51,63.09,13010.5
TOTAL,200,6,4,22,2.15,0.000%,199.40179,2533.51,63.09,13010.5
