Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,20,24,12,41,9.20,0.000%,20.98636,266.64,6.64,13010.5
TOTAL,20,24,12,41,9.20,0.000%,20.98636,266.64,6.64,13010.5
