Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,2,25,21,30,4.50,0.000%,38.46154,488.68,12.17,13010.5
TOTAL,2,25,21,30,4.50,0.000%,38.46154,488.68,12.17,13010.5
