Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,20,29,16,53,10.44,0.000%,20.83333,264.71,6.64,13011.0
TOTAL,20,29,16,53,10.44,0.000%,20.83333,264.71,6.64,13011.0
